case_number,company_name,clean_name_1,clean_name_2,emp_1_city,emp_1_state,emp_1_zip,scrape_status
01-RC-022162,Live Nation d/b/a DLC/Tea Party Concerts,Live Nation,Tea Party Concerts,Mansfield,MA,2048,
01-RC-022243,Medical Care Development,Medical Care Development,,Augusta,ME,4330,
01-RC-022272,"Goffstown Truck Center, Inc.",Goffstown Truck,,Acton,MA,1720,
01-RC-022278,Able Engineering Services,Able Engineering,,Blackwood,NJ,8012,
01-RC-022281,Becker College,Becker,,SPRINGFIELD,MA,1144,
01-RC-022283,"First Student, Inc.",First Student,,Merrimac,MA,1860,
01-RC-022284,Interstate Brand Corporation,Interstate Brand,,Augusta,ME,4330,
01-RC-022298,Tower Hill Nursing LLC d/b/a Tower Hill Center for Health and Rehabilitation,Tower Hill Nursing,Tower Hill Rehab,Canton,MA,2021,
01-RC-022301,"First Transit, Inc.",First Transit,,Framingham,MA,1702,
01-RC-022304,Angelica Textiles,Angelica Textiles,,Somerville,MA,2143,
01-RC-022312,UMass Memorial Medical Group,Memorial Medical,Massachusetts Memorial,Shrewsbury,MA,1545,
01-RC-022315,First Student,First Student,,East Providence,RI,2914,
01-RC-022318,Clean Scape,Clean Scape,,Providence,RI,2905,
01-RC-022322,Coca-Cola Bottling Company of New England,Coca Cola,,,,,
01-RC-022327,NPS LLC,NPS,,Foxborough,MA,2035,
01-RC-022333,Fletcher Allen Health Care,Fletcher Allen,,,,,
01-RC-022338,Cape Cod Symphony Orchestra,Cape Cod Symphony,Cape Cod Orchestra,Yarmouth Port,MA,2675,
01-RC-022344,"First Transit, Inc.",First Transit,,Nashua,NH,3062,
01-RC-022345,Sunbridge Healthcare-Glenwood,Sunbridge Health,,Lowell,MA,1854,
01-RC-022354,UMass Memorial Medical Center,Memorial Medical,Massachusetts Memorial,,,,
01-RC-022360,EMCOR Government Services,emcor,,Boston,MA,2210,
01-RC-022362,American Sweeping Company,american sweeping,,North Andover,MA,1845,
01-RC-022368,Budget Avis Budget Rent-A-Car,budget avis,avis,East Boston,MA,2128,
01-RC-022373,ABM Security Services,abm security,abm,Somerville,MA,2143,
01-RC-022377,"Apex Express, Inc.",apex,,Brockton,MA,2301,
01-RC-022383,Fairhaven Health Systems,fairhaven health,,Lowell,MA,1854,
01-RC-022384,"A & E Distribution, Inc.",a&e,,Sterling,MA,1564,
01-RC-022388,Chenega Security Protective Services,Chenega,Chenega Security,Ashburn,VA,20147,
01-RC-022390,Airgas East,Airgas,,Hingham,MA,2043,
01-RC-022391,First Student,First Student,,Dover,NH,3820,
01-RC-022392,First Student,First Student,,Merrimack,NH,3054,
01-RC-022393,First Student,First Student,,Merrimack,NH,3054,
01-RC-022394,First Student,First Student,,Merrimack,NH,3054,
01-RC-022396,First Light Power Resources Services,First Light,,Northfield,MA,1360,
01-RC-022397,Thermo Fisher Scientific,Thermo Fisher,,Cambridge,MA,2139,
01-RC-022399,First Student,First Student,,Foster,RI,2825,
01-RC-022401,First Student,First Student,,Hanson,MA,2341,
01-RC-022402,"Reinhart Food Service, L. L. C.",Reinhart Food,,New Bedford,MA,2745,
01-RC-022406,First Student,First Student,,Marlborough,MA,1752,
01-RC-022408,falmouth assisted,falmouth,,Boston,MA,2110,
01-RC-022409,Vocell Bus Company,Vocell,,Malden,MA,2148,
01-RC-022410,Golden Living Center - Chetwynde,Golden Living,,West Newton,MA,2465,
01-RC-022411,First Student,First Student,,Gardner,MA,1440,
01-RC-022412,"SRC West Springfield, Inc., d/b/a Wingate at West Springfield",SRC,Wingate,West Springfield,MA,1089,
01-RC-022413,"First Student, Inc.",First Student,,Berlin,VT,5602,
01-RC-022415,Agar Supply Company,Agar Supply,,Taunton,MA,2780,
01-RC-022417,"First Student, Inc.",First Student,,Berlin,VT,5602,
01-RC-022418,"First Student, Inc.",First Student,,Berlin,VT,5602,
01-RC-022423,The Ogunquit Playhouse Foundation,Oqunquit Playhouse,,Ogunquit,ME,3907,
01-RC-022424,Sodexo Corporation,Sodexo,,Newport,RI,2840,
01-RC-022426,"Katahdin Paper, LLC",Katahdin,,Augusta,ME,4330,
01-RC-022430,"G4s Regulated Security Solutions, Inc.",G4s,,Seabrook,NH,3874,
01-RC-022432,Mount Ida College,Mount Ida,,Newton Center,MA,2459,
01-RC-022433,First Student,First Student,,White River Junction,VT,5501,
01-RC-022436,First Student,First Student,,White River Junction,VT,5501,
01-RC-022437,"First Student, Inc.",First Student,,Merrimac,MA,1860,
01-RC-022441,Equitrac Corporation,Equitrac,,Plantation,FL,33324,
01-RC-022445,Wingate at Sudbury,Wingate,,Sudbury,MA,1776,
01-RC-022458,National Cash Register,National Cash,,Duluth,GA,30096,
01-RC-022461,"AB Car Rental Services, Inc.",AB Car Rental,,East Boston,MA,2128,
01-RC-022462,Kindred Hospital Boston North Shore,Kindred Hospital,,Peabody,MA,1960,
01-RC-022465,Beth Israel Deaconess Medical Center,Beth Israel,,Plymouth,NH,3264,
01-RC-022470,"Kindred Nursing Centers East, LLC, d/b/a Bolton Manor Nursing and Rehabilitation Center",Kindred Nursing,Bolton Manor,Marlborough,MA,1752,
01-RC-022471,Sodexo Corporation,Sodexo,,Cambridge,MA,2138,
01-RC-022477,"Gfi Boston, Inc., d/b/a Sheila Marie Imports",Gfi,Sheila Marie,North Reading,MA,1864,
01-RC-022480,L-3 Communications,L-3,,South Burlington,VT,5403,
01-RC-022483,JG Associates,JG Associates,,North Smithfield,RI,2896,
01-RC-022485,"Next Generation Vending and Food Service, Inc.",Next generation vending,Next generation food,Middleton,MA,1949,
01-RC-022486,Greater Lynn Senior Services,Greater Lynn,,,,,
01-RC-022488,Caritis Holy Family Hospital,Caritis Hospital,Holy Family,Methuen,MA,1844,
01-RC-022490,Carital Holy Family Hosptial,Carital Hospital,Holy Family,Methuen,MA,1844,
01-RC-022500,First Student,First Student,,Dennis Port,MA,2639,
01-RC-022509,Sun Healthcare d/b/a Meadowview Care and Rehabilitation Center,Sun Healthcare,Meadowview,North Reading,MA,1864,
01-RC-022511,Fraser Engineering Co. & Fraser Petroleum,Fraser Engineering,Fraser Petroleum,Newton,MA,2458,
01-RC-022514,"Johnson Controls, Inc.",Johnson Controls,,Devens,MA,1434,
01-RC-022519,"IHEG, Inc., Iron Horse Ventures, Inc., Pearl Street Night Club, Inc., Calvin Theatre Corp., and Moun",Iron Horse Ventures,Pearl Street Club,Holyoke,MA,1040,
01-RC-022521,"Calvin Theatre Corp., and Mountain Park, LLC",Calvin Theatre,Mountain Park,Holyoke,MA,1040,
01-RC-022525,Caritas Carney Hospital,Caritas Carney,Carney Hospital,Boston,MA,2124,
01-RC-022530,Macys,Macys,,Saugus,MA,1906,
01-RC-022531,Hathaway Manor Ext Care Facility,Hathaway Manor,,New Bedford,MA,2740,
01-RC-022533,NexxtShow,NexxtShow,,Avon,MA,2322,
01-RC-022535,Boston Medical Center,Boston Medical,,BROOKLYN,NY,11201,
01-RC-022537,Vocell Bus Company,Vocell,,Malden,MA,2148,
01-RC-022542,Universal Recycling Technologies,Universal Recycling,,Phoenix,AZ,85031,
01-RC-061888,"M.V.M. Security, Inc.",MVM,,Ashburn,VA,20147,
01-RC-061968,"IFCO Systems N.A., Inc.",IFCO,,Westborough,MA,1581,
01-RC-063684,"Fed Consulting, Inc.",Fed Consulting,,Leesburg,VA,20175,
01-RC-066006,Jani-King,Jani-King,,East Providence,RI,2914,
01-RC-066336,Progressive Logistics Services,Progressive Logistics,,Methuen,MA,1844,
01-RC-068263,"Comcast MO of Delaware, LLC",Comcast ,,Fairhaven,MA,2719,
01-RC-068343,"Chartwells School Dining Services, Inc., a Division of Compass Group",Chartwells,Compass Group,New Bedford,MA,2745,
01-RC-068550,First Student,First Student,,Richmond,RI,2898,
01-RC-069279,Blue Hill Alzheimer's Care Center,Blue Hill,,STOUGHTON,MA,2072,
01-RC-069400,First Student,First Student,,East Falmouth,MA,2536,
01-RC-069999,SUNOCO PARTNERS LLC,Sunoco,,East Boston,MA,2128,
01-RC-075540,Spring Valley Care and Rehab Center,Spring Vallely,,Worcester,MA,1609,
01-RC-077916,Johnson Control Inc.,Johnson Control,,Devens,MA,1434,
01-RC-078445,"NEXT GENERATION VENDING & FOOD SERVICE, INC.",Next generation vending,,Warwick,RI,2886,
01-RC-078935,Allied Waste a company of Republic Service,Allied Waste,Republic Service,Fall River,MA,2720,
01-RC-080478,Capital Power,capital power,,Tiverton,RI,2878,
01-RC-080579,"Lucini Bus Line, Inc.",lucini bus,,Bridgewater,MA,2324,
01-RC-080815,"The Kind Grind, Inc. d/b/a Rao's Coffee",Kind grind,Rao's Coffee,Amherst,MA,1002,
01-RC-081292,Bannister House,Bannister ,,Providence,RI,2907,
01-RC-082185,HATHAWAY MANOR EXT. CARE FACILITY,Hathaway Manor,,New Bedford,MA,2740,
01-RC-083246,Allied Waste a Company of Republic Service,Allied Waste,Republic Service,South Yarmouth,MA,2664,
01-RC-084192,Hathaway Manor Ext Care Facility,Hathaway Manor,,New Bedford,MA,2740,
01-RC-085976,"UNTIL Energy Systems, Inc.",until energy,,Hampton,NH,3842,
01-RC-088780,Superior Plus Energy Services,Superior plus,,Providence,RI,2905,
01-RC-090552,Morton Hospital,Morton,,Taunton,MA,2780,
01-RC-090862,Wingate at Brighton,Wingate,,Allston,MA,2134,
01-RC-091771,"Redimix Companies, Inc.",Redimix,,Manchester,NH,3103,
01-RC-093313,Ryder Truck Rental and Leasing,Ryder,,New Bedford,MA,2740,
01-RC-096568,APG Security,APG,,Warwick,RI,2886,
01-RC-096636,"OVERLOOK MASONIC COMMUNITIES, INC.",Overlook masonic,,Charlton,MA,1507,
01-RC-097257,"Le Fort Enterprises, Inc. d/b/a Merry Maids of South Boston",Le Fort,Merry Maids,South Boston,MA,2127,
01-RC-098033,"Beacon Sales Acquisition, Inc. d/b/a Beacon Sales Company",Beacon Sales,,Peabody,MA,1960,
01-RC-098036,"State Theatre a/k/a Crobo, LLC",State Theatre,Crobo,Portland,ME,4101,
01-RC-098037,CAMBRIDGE REHABILITATION AND NURSING CENTER,Cambridge rehabilitation,Cambridge nursing,Cambridge,MA,2138,
01-RC-099465,Trump Parc Stamford Assoc. Inc.,Trump Parc Stamford,,Stamford,CT,6901,
01-RC-099489,"ROTOBEC, USA",Rotobec,,Littleton,NH,3561,
01-RC-100450,Radius Healthcare Center of Danvers,Radius Healthcare,,Danvers,MA,1923,
01-RC-100522,"Comcast MO of Delaware, LLC",Comcast ,,Fairhaven,MA,2719,
01-RC-100816,Daniel Marr & Son Company,Daniel Marr,,South Boston,MA,2127,
01-RC-100901,"ARAMARK Educational Services, LLC at Simmons College",Aramark,,Boston,MA,2115,
01-RC-101269,NES Rentals,NES,,Bangor,ME,4401,
01-RC-101280,NES Rentals,NES,,Portland,ME,4102,
01-RC-101415,Bob's Discount Furniture Store,Bob's Furniture,,Manchester,CT,6042,
01-RC-103493,THE BOSTON GLOBE,boston globe,,Dorchester,MA,2125,
01-RC-103990,"DURHAM SCHOOL SERVICES, L.P.",durham school,,Framingham,MA,1702,
01-RC-104601,"JG TRANSPORT, INC. d/b/a JG ASSOCIATES",jg transport,jg associates,North Smithfield,RI,2896,
01-RC-106310,Paragon Systems,paragon ,,Bangor,ME,4401,
01-RC-110050,ALEXANDRIA MANOR,alexandria manor,,Bloomfield,CT,6002,
01-RC-110793,"COMCAST MO OF DELAWARE, LLC",comcast,,,,,
01-RC-112408,Hunters Ambulance Company,hunters ambulance,,Meriden,CT,6451,
01-RC-112964,M & J BUS COMPANY,M J Bus,,Stafford Springs,CT,6076,
01-RC-113424,ARAMARK AT SPRINGFIELD COLLEGE,aramark,,SPRINGFIELD,MA,1109,
01-RC-114139,PETRO HEATING & AIR CONDITIONING,petro heating,,Providence,RI,2904,
01-RC-114498,"H & L BLOOM, INC.",HL Bloom,,ATTLEBORO,MA,2703,
01-RC-116260,"OldCastle APG Northeast, Inc.",Oldcastle APG,,CRANSTON,RI,2920,
01-RC-117076,MCI Communications Services Inc.,MCI Communications,,ANDOVER,ME,4216,
